,600.00,800.00,900.00,1000.00,1100.00,1200.00
104.00,-40511.37,-27711.37,-21311.37,-14911.37,-8511.37,-2111.37
110.00,-41925.49,-27925.49,-20925.49,-13925.49,-6925.49,74.51
120.00,-44282.35,-28282.35,-20282.35,-12282.35,-4282.35,3717.65
130.00,-46639.21,-28639.21,-19639.21,-10639.21,-1639.21,7360.79
140.00,-48996.07,-28996.07,-18996.07,-8996.07,1003.93,11003.93
150.00,-51352.94,-29352.94,-18352.94,-7352.94,3647.06,14647.06
160.00,-53709.80,-29709.80,-17709.80,-5709.80,6290.20,18290.20
170.00,-56066.66,-30066.66,-17066.66,-4066.66,8933.34,21933.34
180.00,-58423.52,-30423.52,-16423.52,-2423.52,11576.48,25576.48
104.00,-24511.37,-11711.37,-5311.37,1088.63,7488.63,13888.63
110.00,-25925.49,-11925.49,-4925.49,2074.51,9074.51,16074.51
120.00,-28282.35,-12282.35,-4282.35,3717.65,11717.65,19717.65
130.00,-30639.21,-12639.21,-3639.21,5360.79,14360.79,23360.79
140.00,-32996.07,-12996.07,-2996.07,7003.93,17003.93,27003.93
150.00,-35352.94,-13352.94,-2352.94,8647.06,19647.06,30647.06
160.00,-37709.80,-13709.80,-1709.80,10290.20,22290.20,34290.20
170.00,-40066.66,-14066.66,-1066.66,11933.34,24933.34,37933.34
180.00,-42423.52,-14423.52,-423.52,13576.48,27576.48,41576.48
104.00,-8511.37,4288.63,10688.63,17088.63,23488.63,29888.63
110.00,-9925.49,4074.51,11074.51,18074.51,25074.51,32074.51
120.00,-12282.35,3717.65,11717.65,19717.65,27717.65,35717.65
130.00,-14639.21,3360.79,12360.79,21360.79,30360.79,39360.79
140.00,-16996.07,3003.93,13003.93,23003.93,33003.93,43003.93
150.00,-19352.94,2647.06,13647.06,24647.06,35647.06,46647.06
160.00,-21709.80,2290.20,14290.20,26290.20,38290.20,50290.20
170.00,-24066.66,1933.34,14933.34,27933.34,40933.34,53933.34
180.00,-26423.52,1576.48,15576.48,29576.48,43576.48,57576.48
